,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
0,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",tt2488496,136.0,8.0,2068223624,936662225,245000000.0,2015-12-15,40.452
1,Avengers: Endgame,"Action, Adventure, Drama",tt4154796,181.0,8.8,2797800564,858373000,356000000.0,2019-04-24,41.244
2,Black Panther,"Action, Adventure, Sci-Fi",tt1825683,134.0,7.3,1346913161,700059566,200000000.0,2018-02-13,41.152
3,Avengers: Infinity War,"Action, Adventure, Sci-Fi",tt4154756,149.0,8.5,2048359754,678815482,300000000.0,2018-04-25,66.376
4,Jurassic World,"Action, Adventure, Sci-Fi",tt0369610,124.0,7.0,1670400637,652270625,150000000.0,2015-06-06,36.934
5,The Avengers,"Action, Adventure, Sci-Fi",tt0848228,143.0,8.1,1518812988,623279547,220000000.0,2012-04-25,57.159
6,Incredibles 2,"Animation, Action, Adventure",tt3606756,118.0,7.7,1242805359,608581744,200000000.0,2018-06-14,29.088
7,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",tt3748528,133.0,7.8,1056057273,532177324,200000000.0,2016-12-14,29.315
8,Beauty and the Beast,"Family, Fantasy, Musical",tt2316801,112.0,6.4,1263521126,504014165,33000000.0,2014-02-12,12.970999999999998
9,Finding Dory,"Animation, Adventure, Comedy",tt2277860,97.0,7.3,1028570889,486295561,200000000.0,2016-06-16,22.824
10,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",tt2395427,141.0,7.3,1402805868,459005868,250000000.0,2015-04-22,38.051
11,The Dark Knight Rises,"Action, Adventure",tt1345836,164.0,8.4,1081041287,448139099,250000000.0,2012-07-16,37.445
12,Captain Marvel,"Action, Adventure, Sci-Fi",tt4154664,123.0,7.0,1128274794,426829839,152000000.0,2019-03-06,46.428999999999995
13,The Hunger Games: Catching Fire,"Action, Adventure, Mystery",tt1951264,146.0,7.5,865011746,424668047,130000000.0,2013-11-15,21.119
14,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",tt4881806,128.0,6.2,1308467944,417719760,170000000.0,2018-06-06,35.12
15,Toy Story 3,"Animation, Adventure, Comedy",tt0435761,103.0,8.3,1066969703,415004880,200000000.0,2010-06-16,27.214000000000002
16,Wonder Woman,"Action, Adventure, Fantasy",tt0451279,141.0,7.5,821847012,412563408,149000000.0,2017-05-30,37.257
17,Captain America: Civil War,"Action, Adventure, Sci-Fi",tt3498820,147.0,7.8,1153296293,408084349,250000000.0,2016-04-27,41.143
18,The Hunger Games,"Action, Adventure, Sci-Fi",tt1392170,142.0,7.2,694394724,408010692,75000000.0,2012-03-12,15.584000000000001
19,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",tt2283362,119.0,7.0,962077546,404515480,90000000.0,2017-12-09,27.230999999999998
20,Frozen,"Animation, Adventure, Comedy",tt1323045,93.0,6.2,1280802282,400738009,0.0,2010-02-05,9.161
22,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",tt3896198,136.0,7.7,863756051,389813101,200000000.0,2017-04-19,39.766
23,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",tt1201607,130.0,8.1,1341511219,381011219,125000000.0,2011-07-07,48.52
24,The Secret Life of Pets,"Animation, Adventure, Comedy",tt2709768,87.0,6.5,875457937,368384330,75000000.0,2016-06-18,6.627000000000001
25,Despicable Me 2,"Animation, Adventure, Comedy",tt1690953,98.0,7.4,970766005,368061265,76000000.0,2013-06-25,30.685
26,The Jungle Book,"Adventure, Drama, Family",tt2226178,64.0,7.0,966550600,364001123,0.0,2013-01-01,0.6
27,Deadpool,"Action, Adventure, Comedy",tt1431045,108.0,8.0,782612155,363070709,58000000.0,2016-02-09,41.255
28,Inside Out,"Animation, Adventure, Comedy",tt1640486,93.0,4.6,857611174,356461711,0.0,2011-09-27,4.84
29,Aladdin,"Adventure, Family, Fantasy",tt6139732,128.0,7.4,1050693953,355559216,183000000.0,2019-05-22,72.428
30,Furious 7,"Action, Adventure, Crime",tt2820852,137.0,7.2,1515047671,353007020,190000000.0,2015-04-01,29.926
31,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",tt1399103,154.0,6.2,1123794079,352390543,195000000.0,2011-06-28,5.332999999999999
32,American Sniper,"Action, Biography, Drama",tt2179136,133.0,7.3,547426372,350126372,58800000.0,2014-12-11,20.235
33,Zootopia,"Animation, Adventure, Comedy",tt2948356,108.0,8.0,1023784195,341268248,150000000.0,2016-02-11,38.436
34,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",tt1951265,123.0,6.6,755356711,337135885,125000000.0,2014-11-19,60.891999999999996
35,Minions,"Animation, Adventure, Comedy",tt2293640,91.0,6.4,1159398397,336045770,74000000.0,2015-06-17,14.44
36,Joker,"Crime, Drama, Thriller",tt1918886,104.0,2.6,1074251311,335451311,0.0,2012-08-31,3.464
38,Aquaman,"Action, Adventure, Fantasy",tt1477834,143.0,7.1,1148461807,335061807,160000000.0,2018-12-07,26.788
39,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",tt2250912,133.0,7.5,880166924,334201140,175000000.0,2017-07-05,58.108999999999995
40,Alice in Wonderland,"Adventure, Family, Fantasy",tt1014759,108.0,6.5,1025467110,334191110,200000000.0,2010-03-03,18.973
41,Guardians of the Galaxy,"Action, Adventure, Comedy",tt2015381,121.0,8.1,772776600,333176600,170000000.0,2014-07-30,23.748
42,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",tt2975590,151.0,6.5,873634919,330360194,250000000.0,2016-03-23,37.416
43,It,Horror,tt1396484,135.0,7.4,700381748,327481748,35000000.0,2017-09-06,19.094
44,Suicide Squad,"Action, Adventure, Fantasy",tt1386697,123.0,6.0,746846894,325100054,175000000.0,2016-08-03,23.386
45,Deadpool 2,"Action, Adventure, Comedy",tt5463162,119.0,7.8,734546611,324591735,110000000.0,2018-05-10,43.643
46,Thor: Ragnarok,"Action, Adventure, Comedy",tt3501632,130.0,7.9,853977126,315058289,180000000.0,2017-10-25,44.843
47,Iron Man 2,"Action, Adventure, Sci-Fi",tt1228705,124.0,7.0,623933331,312433331,200000000.0,2010-04-28,29.151
